SRA ID,Actual MIC
ERR2091336,0.5
ERR3808899,26
ERR2091401,1024.0
ERR3808889,23
ERR2091331,32
ERR2931028,8
ERR2091362,8.0
ERR2091309,0.5
ERR3808900,12
ERR3808918,29
ERR3808904,6
ERR2091407,0.25
ERR2091413,8
ERR2091422,0.015
ERR2091408,0.25
ERR3808896,30
ERR3808875,7
ERR3808879,19
ERR3808874,16
ERR2091321,0.25
ERR2091399,1.0
ERR3808875,25
ERR2091313,1
ERR2091358,8
ERR2091340,0.5
ERR2931013,32
ERR2091364,16
ERR3808887,32
ERR2091335,4
ERR2091421,0.25
ERR2091349,32
ERR3808927,9
ERR2091351,1
ERR2091306,1
ERR3808919,27
ERR2091349,4.0
ERR3808908,6
ERR3808866,21
ERR3808885,17
ERR3808901,21
ERR2091359,1024.0
ERR3808905,9
ERR2091420,4
ERR2091323,8.0
ERR3808883,6
ERR2091406,64.0
ERR2091399,8.0
ERR3808883,19
ERR3808903,23
ERR2091420,0.03
ERR2091420,8.0
ERR3808921,6
ERR3808885,22
ERR3808919,24
ERR3808874,6
ERR2091320,64.0
ERR2091400,1.0
ERR3808911,6
ERR3808919,32
ERR3808908,6
ERR2091420,0.015
ERR2091396,0.25
ERR2091407,8.0
ERR2091308,0.03
ERR3808923,28
ERR3808866,6
ERR2091398,0.03
ERR3808900,23
ERR2091349,32
ERR2935426,6
ERR2091351,64.0
ERR3808893,25
ERR3808921,6
ERR2091405,0.5
ERR2091396,0.015
ERR2931032,16
ERR3808903,25
ERR3808908,23
ERR2091413,0.03
ERR3808913,6
ERR3808873,15
ERR2091425,1.0
ERR2091413,64
ERR2091410,1
ERR2931011,4
ERR2091426,0.25
ERR2091397,0.03
ERR2091427,0.125
ERR2091352,32.0
ERR3808914,17
ERR2091364,4.0
ERR3808885,32
ERR2091317,128
ERR2091309,64.0
ERR2091322,0.125
ERR2931013,0.25
ERR2091423,32.0
ERR2091360,0.125
ERR2091413,0.03
ERR2091402,0.25
ERR3808898,6
ERR2091324,32
ERR2091426,64.0
ERR3808905,29
ERR2091314,0.03
ERR2091426,0.015
ERR2091355,1
ERR2091405,32
ERR2091401,0.5
ERR2091359,64.0
ERR3808887,21
ERR2091429,32
ERR3808866,22
ERR2931017,0.5
ERR2091423,0.125
ERR3808896,22
ERR2091416,8.0
ERR2091409,32
ERR3808914,29
ERR2091401,0.25
ERR2091309,1.0
ERR2091332,8.0
ERR3808905,21
ERR2091346,1024.0
ERR2091418,8
ERR3808911,19
ERR2091402,0.5
ERR2091424,8.0
ERR3808896,23
ERR3808907,6
